time;x;y;fx;fy;;;;;;;;;;
63;120;-120;0;0;;;;;;;;;;
126;120;-120;0;0;;;;;;;;;;
189;120;-120;0;0;;;;;;;;;;
252;120;-120;0;0;;;;;;;;;;
315;120;-120;0;0;;;;;;;;;;
378;120;-120;0;0;;;;;;;;;;
441;120;-120;0;0;;;;;;;;;;
504;120;-120;0;0;;;;;;;;;;
567;120;-120;0;0;;;;;;;;;;
630;120;-120;0;0;;;;;;;;;;
693;120;-120;0;0;;;;;;;;;;
756;120;-120;0;0;;;;;;;;;;
819;120;-120;0;0;;;;;;;;;;
882;120;-120;0;0;;;;;;;;;;
945;120;-120;0;0;;;;;;;;;;
1008;120;-120;0;0;;;;;;;;;;
1071;120;-120;0;0;;;;;;;;;;
1134;120;-120;0;0;;;;;;;;;;
1197;120;-120;0;0;;;;;;;;;;
1260;120;-120;0;0;;;;;;;;;;
1323;120;-120;0;0;;;;;;;;;;
1386;120;-120;0;0;;;;;;;;;;
1449;120;-120;0;0;;;;;;;;;;
1512;120;-120;0;0;;;;;;;;;;
1575;120;-120;0;0;;;;;;;;;;
1638;120;-117;0;143;;;;;;;;;;
1701;120;-115;0;143;;;;;;;;;;
1764;120;-113;0;143;;;;;;;;;;
1827;120;-111;0;143;;;;;;;;;;
1890;120;-107;0;205;;;;;;;;;;
1953;120;-103;0;205;;;;;;;;;;
2016;120;-100;0;205;;;;;;;;;;
2079;120;-97;0;205;;;;;;;;;;
2142;120;-91;0;205;;;;;;;;;;
2205;120;-87;0;163;;;;;;;;;;
2268;120;-85;0;163;;;;;;;;;;
2331;120;-82;0;163;;;;;;;;;;
2394;120;-77;0;163;;;;;;;;;;
2457;120;-75;0;163;;;;;;;;;;
2520;120;-72;0;163;;;;;;;;;;
2583;120;-69;0;199;;;;;;;;;;
2646;120;-63;0;199;;;;;;;;;;
2709;120;-60;0;199;;;;;;;;;;
2772;120;-56;0;199;;;;;;;;;;
2835;120;-53;0;199;;;;;;;;;;
2898;120;-46;0;219;;;;;;;;;;
2961;120;-43;0;219;;;;;;;;;;
3024;120;-40;0;219;;;;;;;;;;
3087;120;-37;0;219;;;;;;;;;;
3150;120;-30;0;190;;;;;;;;;;
3213;120;-27;0;190;;;;;;;;;;
3276;120;-24;0;190;;;;;;;;;;
3339;120;-21;0;190;;;;;;;;;;
3402;120;-15;0;190;;;;;;;;;;
3465;120;-12;0;167;;;;;;;;;;
3528;120;-10;0;167;;;;;;;;;;
3591;120;-8;0;167;;;;;;;;;;
3654;120;-3;0;167;;;;;;;;;;
3717;120;0;0;167;;;;;;;;;;
3780;120;2;0;186;;;;;;;;;;
3843;120;4;0;186;;;;;;;;;;
3906;120;9;0;186;;;;;;;;;;
3969;120;12;0;186;;;;;;;;;;
4032;120;14;0;186;;;;;;;;;;
4095;120;17;0;165;;;;;;;;;;
4158;120;22;0;165;;;;;;;;;;
4221;120;24;0;165;;;;;;;;;;
4284;120;27;0;165;;;;;;;;;;
4347;120;29;0;165;;;;;;;;;;
4410;120;34;0;142;;;;;;;;;;
4473;120;36;0;142;;;;;;;;;;
4536;120;38;0;142;;;;;;;;;;
4599;120;40;0;142;;;;;;;;;;
4662;120;44;0;139;;;;;;;;;;
4725;120;46;0;139;;;;;;;;;;
4788;120;48;0;139;;;;;;;;;;
4851;120;50;0;139;;;;;;;;;;
4914;120;54;0;139;;;;;;;;;;
4977;120;56;0;139;;;;;;;;;;
5040;120;58;0;141;;;;;;;;;;
5103;120;60;0;141;;;;;;;;;;
5166;120;64;0;141;;;;;;;;;;
5229;120;66;0;141;;;;;;;;;;
5292;120;68;0;141;;;;;;;;;;
5355;120;70;0;119;;;;;;;;;;
5418;120;73;0;119;;;;;;;;;;
5481;120;74;0;119;;;;;;;;;;
5544;120;76;0;119;;;;;;;;;;
5607;120;77;0;119;;;;;;;;;;
5670;120;78;0;104;;;;;;;;;;
5733;120;78;0;104;;;;;;;;;;
5796;120;78;0;104;;;;;;;;;;
5859;120;78;0;104;;;;;;;;;;
5922;120;78;0;164;;;;;;;;;;
5985;120;81;0;164;;;;;;;;;;
6048;120;83;0;164;;;;;;;;;;
6111;120;86;0;164;;;;;;;;;;
6174;120;91;0;164;;;;;;;;;;
6237;120;93;0;131;;;;;;;;;;
6300;120;95;0;131;;;;;;;;;;
6363;120;96;0;131;;;;;;;;;;
6426;120;100;0;131;;;;;;;;;;
6489;120;102;0;131;;;;;;;;;;
6552;120;103;0;0;;;;;;;;;;
6615;120;103;0;0;;;;;;;;;;
6678;120;103;0;0;;;;;;;;;;
6741;120;103;0;0;;;;;;;;;;
6804;120;103;0;0;;;;;;;;;;
6867;120;103;0;141;;;;;;;;;;
6930;120;107;0;141;;;;;;;;;;
6993;120;109;0;141;;;;;;;;;;
7056;120;111;0;141;;;;;;;;;;
7119;120;113;0;141;;;;;;;;;;
7182;120;115;0;0;;;;;;;;;;
7245;120;115;0;0;;;;;;;;;;
7308;120;115;0;-26;;;;;;;;;;
7371;120;115;0;-26;;;;;;;;;;
7434;120;115;0;-26;;;;;;;;;;
7497;120;115;0;-26;;;;;;;;;;
7560;120;115;0;-26;;;;;;;;;;
7623;120;115;0;0;;;;;;;;;;
7686;120;115;0;0;;;;;;;;;;
7749;120;115;0;0;;;;;;;;;;
7812;120;115;0;0;;;;;;;;;;
7875;120;115;0;0;;;;;;;;;;
7938;120;115;0;0;;;;;;;;;;
8001;120;115;0;0;;;;;;;;;;
8064;120;115;0;0;;;;;;;;;;
8127;120;115;0;0;;;;;;;;;;
8190;120;115;0;0;;;;;;;;;;
8253;120;115;0;0;;;;;;;;;;
8316;120;115;0;0;;;;;;;;;;
8379;120;115;0;0;;;;;;;;;;
8442;120;115;0;0;;;;;;;;;;
8505;120;115;0;0;;;;;;;;;;
8568;120;115;0;0;;;;;;;;;;
8631;120;115;0;0;;;;;;;;;;
8694;120;115;-35;0;;;;;;;;;;
8757;120;115;-35;0;;;;;;;;;;
8820;120;115;-35;0;;;;;;;;;;
8883;120;115;-35;0;;;;;;;;;;
8946;120;115;-57;0;;;;;;;;;;
9009;120;115;-57;0;;;;;;;;;;
9072;120;115;-57;0;;;;;;;;;;
9135;120;115;-57;0;;;;;;;;;;
9198;120;115;-57;-73;;;;;;;;;;
9261;120;115;-57;-73;;;;;;;;;;
9324;120;115;-62;-73;;;;;;;;;;
9387;120;115;-62;-73;;;;;;;;;;
9450;120;115;-62;-77;;;;;;;;;;
9513;120;115;-62;-77;;;;;;;;;;
9576;120;115;-62;-77;;;;;;;;;;
9639;120;115;-76;-77;;;;;;;;;;
9702;120;115;-76;-77;;;;;;;;;;
9765;120;115;-76;-81;;;;;;;;;;
9828;120;115;-76;-81;;;;;;;;;;
9891;120;115;-76;-81;;;;;;;;;;
9954;120;115;-103;-81;;;;;;;;;;
10017;120;115;-103;-81;;;;;;;;;;
10080;120;115;-103;-127;;;;;;;;;;
10143;120;113;-103;-127;;;;;;;;;;
10206;120;109;-108;-127;;;;;;;;;;
10269;120;108;-108;-127;;;;;;;;;;
10332;120;106;-108;-127;;;;;;;;;;
10395;120;105;-108;-88;;;;;;;;;;
10458;120;105;-108;-88;;;;;;;;;;
10521;120;105;-102;-88;;;;;;;;;;
10584;120;105;-102;-88;;;;;;;;;;
10647;120;105;-102;-88;;;;;;;;;;
10710;120;105;-102;-65;;;;;;;;;;
10773;120;105;-102;-65;;;;;;;;;;
10836;120;105;-101;-65;;;;;;;;;;
10899;120;105;-101;-65;;;;;;;;;;
10962;120;105;-101;-74;;;;;;;;;;
11025;120;105;-101;-74;;;;;;;;;;
11088;120;105;-101;-74;;;;;;;;;;
11151;120;105;-137;-74;;;;;;;;;;
11214;116;105;-137;-74;;;;;;;;;;
11277;114;105;-137;-74;;;;;;;;;;
11340;112;105;-137;-94;;;;;;;;;;
11403;110;105;-137;-94;;;;;;;;;;
11466;106;105;-130;-94;;;;;;;;;;
11529;104;105;-130;-94;;;;;;;;;;
11592;103;105;-130;-94;;;;;;;;;;
11655;101;105;-130;-101;;;;;;;;;;
11718;98;105;-130;-101;;;;;;;;;;
11781;97;105;-60;-101;;;;;;;;;;
11844;97;105;-60;-101;;;;;;;;;;
11907;97;105;-60;-101;;;;;;;;;;
11970;97;101;-60;-167;;;;;;;;;;
12033;97;98;-60;-167;;;;;;;;;;
12096;97;96;-76;-167;;;;;;;;;;
12159;97;93;-76;-167;;;;;;;;;;
12222;97;89;-76;-119;;;;;;;;;;
12285;97;87;-76;-119;;;;;;;;;;
12348;97;86;-76;-119;;;;;;;;;;
12411;96;84;-129;-119;;;;;;;;;;
12474;93;81;-129;-119;;;;;;;;;;
12537;91;80;-129;-68;;;;;;;;;;
12600;89;80;-129;-68;;;;;;;;;;
12663;88;80;-129;-68;;;;;;;;;;
12726;84;80;-128;-68;;;;;;;;;;
12789;83;80;-128;-68;;;;;;;;;;
12852;81;80;-128;-134;;;;;;;;;;
12915;79;78;-128;-134;;;;;;;;;;
12978;76;75;-128;-134;;;;;;;;;;
13041;74;73;-100;-134;;;;;;;;;;
13104;74;71;-100;-134;;;;;;;;;;
13167;74;70;-100;-103;;;;;;;;;;
13230;74;70;-100;-103;;;;;;;;;;
13293;74;70;-100;-103;;;;;;;;;;
13356;74;70;-114;-103;;;;;;;;;;
13419;73;70;-114;-103;;;;;;;;;;
13482;70;70;-114;-107;;;;;;;;;;
13545;68;70;-114;-107;;;;;;;;;;
13608;67;70;-114;-107;;;;;;;;;;
13671;65;70;-114;-107;;;;;;;;;;
13734;62;70;-132;-107;;;;;;;;;;
13797;60;68;-132;-127;;;;;;;;;;
13860;58;67;-132;-127;;;;;;;;;;
13923;57;65;-132;-127;;;;;;;;;;
13986;54;61;-90;-127;;;;;;;;;;
14049;54;60;-90;-127;;;;;;;;;;
14112;54;59;-90;-94;;;;;;;;;;
14175;54;59;-90;-94;;;;;;;;;;
14238;54;59;-90;-94;;;;;;;;;;
14301;54;59;-103;-94;;;;;;;;;;
14364;54;59;-103;-94;;;;;;;;;;
14427;54;58;-103;-121;;;;;;;;;;
14490;54;55;-103;-121;;;;;;;;;;
14553;54;53;-103;-121;;;;;;;;;;
14616;53;52;-150;-121;;;;;;;;;;
14679;51;50;-150;-121;;;;;;;;;;
14742;47;47;-150;-117;;;;;;;;;;
14805;45;45;-150;-117;;;;;;;;;;
14868;43;44;-150;-117;;;;;;;;;;
14931;41;42;-127;-117;;;;;;;;;;
14994;38;40;-127;-66;;;;;;;;;;
15057;36;40;-127;-66;;;;;;;;;;
15120;34;40;-127;-66;;;;;;;;;;
15183;31;40;-81;-66;;;;;;;;;;
15246;31;40;-81;-66;;;;;;;;;;
15309;31;40;-81;-120;;;;;;;;;;
15372;31;38;-81;-120;;;;;;;;;;
15435;31;34;-81;-120;;;;;;;;;;
15498;31;33;-124;-120;;;;;;;;;;
15561;29;31;-124;-120;;;;;;;;;;
15624;28;29;-124;-107;;;;;;;;;;
15687;24;29;-124;-107;;;;;;;;;;
15750;23;29;-124;-107;;;;;;;;;;
15813;21;29;-124;-107;;;;;;;;;;
15876;19;29;-123;-107;;;;;;;;;;
15939;17;29;-123;-107;;;;;;;;;;
16002;14;29;-123;-109;;;;;;;;;;
16065;12;29;-123;-109;;;;;;;;;;
16128;11;29;-123;-109;;;;;;;;;;
16191;10;29;-99;-109;;;;;;;;;;
16254;10;27;-99;-167;;;;;;;;;;
16317;10;25;-99;-167;;;;;;;;;;
16380;10;22;-99;-167;;;;;;;;;;
16443;10;20;-99;-167;;;;;;;;;;
16506;10;15;-86;-167;;;;;;;;;;
16569;10;13;-86;-114;;;;;;;;;;
16632;10;11;-86;-114;;;;;;;;;;
16695;10;8;-86;-114;;;;;;;;;;
16758;10;7;-110;-114;;;;;;;;;;
16821;10;5;-110;-114;;;;;;;;;;
16884;10;4;-110;-88;;;;;;;;;;
16947;10;4;-110;-88;;;;;;;;;;
17010;10;4;-110;-88;;;;;;;;;;
17073;10;4;-119;-88;;;;;;;;;;
17136;8;4;-119;-88;;;;;;;;;;
17199;5;2;-119;-121;;;;;;;;;;
17262;4;1;-119;-121;;;;;;;;;;
17325;2;0;-119;-121;;;;;;;;;;
17388;1;-1;-119;-121;;;;;;;;;;
17451;0;-3;-119;-121;;;;;;;;;;
17514;-3;-4;-119;-103;;;;;;;;;;
17577;-4;-4;-119;-103;;;;;;;;;;
17640;-6;-4;-119;-103;;;;;;;;;;
17703;-7;-4;-91;-103;;;;;;;;;;
17766;-7;-4;-91;-125;;;;;;;;;;
17829;-7;-6;-91;-125;;;;;;;;;;
17892;-7;-8;-91;-125;;;;;;;;;;
17955;-7;-11;-91;-125;;;;;;;;;;
18018;-9;-13;-143;-125;;;;;;;;;;
18081;-11;-15;-143;-125;;;;;;;;;;
18144;-13;-16;-143;-117;;;;;;;;;;
18207;-15;-18;-143;-117;;;;;;;;;;
18270;-20;-21;-143;-117;;;;;;;;;;
18333;-21;-22;-134;-117;;;;;;;;;;
18396;-25;-24;-134;-88;;;;;;;;;;
18459;-25;-24;-134;-88;;;;;;;;;;
18522;-28;-24;-134;-88;;;;;;;;;;
18585;-30;-24;-134;-88;;;;;;;;;;
18648;-32;-24;-112;-88;;;;;;;;;;
18711;-33;-24;-112;-88;;;;;;;;;;
18774;-36;-27;-112;-130;;;;;;;;;;
18837;-38;-29;-112;-130;;;;;;;;;;
18900;-39;-30;-112;-130;;;;;;;;;;
18963;-42;-34;-117;-130;;;;;;;;;;
19026;-44;-36;-117;-117;;;;;;;;;;
19089;-45;-37;-117;-117;;;;;;;;;;
19152;-47;-39;-117;-117;;;;;;;;;;
19215;-48;-40;-117;-117;;;;;;;;;;
19278;-49;-43;-102;-117;;;;;;;;;;
19341;-49;-44;-102;-93;;;;;;;;;;
19404;-49;-44;-102;-93;;;;;;;;;;
19467;-49;-44;-102;-93;;;;;;;;;;
19530;-49;-44;-83;-93;;;;;;;;;;
19593;-49;-44;-83;-93;;;;;;;;;;
19656;-49;-44;-83;-119;;;;;;;;;;
19719;-49;-47;-83;-119;;;;;;;;;;
19782;-49;-49;-83;-119;;;;;;;;;;
19845;-49;-50;-109;-119;;;;;;;;;;
19908;-49;-52;-109;-119;;;;;;;;;;
19971;-49;-53;-109;-113;;;;;;;;;;
20034;-49;-56;-109;-113;;;;;;;;;;
20097;-49;-58;-109;-113;;;;;;;;;;
20160;-51;-61;-113;-113;;;;;;;;;;
20223;-51;-61;-113;-113;;;;;;;;;;
20286;-54;-63;-113;-79;;;;;;;;;;
20349;-55;-63;-113;-79;;;;;;;;;;
20412;-57;-63;-113;-79;;;;;;;;;;
20475;-59;-63;-109;-79;;;;;;;;;;
20538;-59;-63;-109;-79;;;;;;;;;;
20601;-59;-63;-109;-96;;;;;;;;;;
20664;-59;-63;-109;-96;;;;;;;;;;
20727;-59;-63;-109;-96;;;;;;;;;;
20790;-59;-63;-111;-96;;;;;;;;;;
20853;-61;-63;-111;-96;;;;;;;;;;
20916;-62;-64;-111;-118;;;;;;;;;;
20979;-65;-67;-111;-118;;;;;;;;;;
21042;-67;-68;-111;-118;;;;;;;;;;
21105;-68;-70;-116;-118;;;;;;;;;;
21168;-70;-71;-116;-118;;;;;;;;;;
21231;-73;-72;-116;-98;;;;;;;;;;
21294;-74;-72;-116;-98;;;;;;;;;;
21357;-76;-72;-116;-98;;;;;;;;;;
21420;-77;-72;-76;-98;;;;;;;;;;
21483;-77;-72;-76;-120;;;;;;;;;;
21546;-77;-74;-76;-120;;;;;;;;;;
21609;-77;-76;-76;-120;;;;;;;;;;
21672;-77;-79;-92;-120;;;;;;;;;;
21735;-77;-81;-92;-120;;;;;;;;;;
21798;-77;-83;-92;-98;;;;;;;;;;
