time;x;y;fx;fy;;;;;;;;;;
63;120;-120;0;0;;;;;;;;;;
126;120;-120;0;0;;;;;;;;;;
189;120;-120;0;0;;;;;;;;;;
252;120;-120;0;0;;;;;;;;;;
315;120;-120;0;0;;;;;;;;;;
378;120;-120;0;0;;;;;;;;;;
441;120;-120;0;0;;;;;;;;;;
504;120;-120;0;0;;;;;;;;;;
567;120;-120;0;0;;;;;;;;;;
630;120;-118;0;116;;;;;;;;;;
693;120;-117;0;116;;;;;;;;;;
756;120;-116;0;116;;;;;;;;;;
819;120;-113;0;116;;;;;;;;;;
882;120;-111;0;116;;;;;;;;;;
945;120;-109;0;179;;;;;;;;;;
1008;120;-107;0;179;;;;;;;;;;
1071;120;-102;0;179;;;;;;;;;;
1134;120;-99;0;179;;;;;;;;;;
1197;120;-96;0;179;;;;;;;;;;
1260;120;-94;0;181;;;;;;;;;;
1323;120;-91;0;181;;;;;;;;;;
1386;120;-86;0;181;;;;;;;;;;
1449;120;-84;0;181;;;;;;;;;;
1512;120;-81;0;181;;;;;;;;;;
1575;120;-75;0;209;;;;;;;;;;
1638;120;-72;0;209;;;;;;;;;;
1701;120;-69;0;209;;;;;;;;;;
1764;120;-66;0;209;;;;;;;;;;
1827;120;-62;0;209;;;;;;;;;;
1890;120;-56;0;189;;;;;;;;;;
1953;120;-53;0;189;;;;;;;;;;
2016;120;-50;0;189;;;;;;;;;;
2079;120;-47;0;189;;;;;;;;;;
2142;120;-41;0;189;;;;;;;;;;
2205;120;-38;0;189;;;;;;;;;;
2268;120;-35;0;189;;;;;;;;;;
2331;120;-32;0;189;;;;;;;;;;
2394;120;-26;0;189;;;;;;;;;;
2457;120;-23;0;189;;;;;;;;;;
2520;120;-21;0;185;;;;;;;;;;
2583;120;-16;0;185;;;;;;;;;;
2646;120;-13;0;185;;;;;;;;;;
2709;120;-10;0;185;;;;;;;;;;
2772;120;-8;0;185;;;;;;;;;;
2835;120;-5;0;164;;;;;;;;;;
2898;120;0;0;164;;;;;;;;;;
2961;120;1;0;164;;;;;;;;;;
3024;120;4;0;164;;;;;;;;;;
3087;120;6;0;164;;;;;;;;;;
3150;120;11;0;168;;;;;;;;;;
3213;120;14;0;168;;;;;;;;;;
3276;120;16;0;168;;;;;;;;;;
3339;120;19;0;168;;;;;;;;;;
3402;120;23;0;140;;;;;;;;;;
3465;120;25;0;140;;;;;;;;;;
3528;120;27;0;140;;;;;;;;;;
3591;120;29;0;140;;;;;;;;;;
3654;120;33;0;140;;;;;;;;;;
3717;120;35;0;138;;;;;;;;;;
3780;120;37;0;138;;;;;;;;;;
3843;120;39;0;138;;;;;;;;;;
3906;120;43;0;138;;;;;;;;;;
3969;120;45;0;138;;;;;;;;;;
4032;120;47;0;124;;;;;;;;;;
4095;120;51;0;124;;;;;;;;;;
4158;120;52;0;124;;;;;;;;;;
4221;120;54;0;124;;;;;;;;;;
4284;120;56;0;124;;;;;;;;;;
4347;120;57;0;119;;;;;;;;;;
4410;120;60;0;119;;;;;;;;;;
4473;120;62;0;119;;;;;;;;;;
4536;120;63;0;119;;;;;;;;;;
4599;120;65;0;119;;;;;;;;;;
4662;120;66;0;105;;;;;;;;;;
4725;120;66;0;105;;;;;;;;;;
4788;120;66;0;105;;;;;;;;;;
4851;120;66;0;105;;;;;;;;;;
4914;120;66;0;105;;;;;;;;;;
4977;120;69;0;220;;;;;;;;;;
5040;120;72;0;220;;;;;;;;;;
5103;120;75;0;220;;;;;;;;;;
5166;120;82;0;220;;;;;;;;;;
5229;120;85;0;220;;;;;;;;;;
5292;120;88;0;188;;;;;;;;;;
5355;120;90;0;188;;;;;;;;;;
5418;120;95;0;188;;;;;;;;;;
5481;120;98;0;188;;;;;;;;;;
5544;120;100;0;188;;;;;;;;;;
5607;120;102;0;0;;;;;;;;;;
5670;120;102;0;0;;;;;;;;;;
5733;120;102;0;0;;;;;;;;;;
5796;120;102;0;0;;;;;;;;;;
5859;120;102;0;0;;;;;;;;;;
5922;120;102;0;100;;;;;;;;;;
5985;120;102;0;100;;;;;;;;;;
6048;120;102;0;100;;;;;;;;;;
6111;120;102;0;100;;;;;;;;;;
6174;120;102;0;236;;;;;;;;;;
6237;120;106;0;236;;;;;;;;;;
6300;120;109;0;236;;;;;;;;;;
6363;120;112;0;236;;;;;;;;;;
6426;120;119;0;236;;;;;;;;;;
6489;120;122;0;0;;;;;;;;;;
6552;120;122;0;0;;;;;;;;;;
6615;120;122;0;0;;;;;;;;;;
6678;120;122;0;0;;;;;;;;;;
6741;120;120;0;-163;;;;;;;;;;
6804;120;118;0;-163;;;;;;;;;;
6867;120;113;-32;-163;;;;;;;;;;
6930;120;110;-32;-163;;;;;;;;;;
6993;120;107;-32;-163;;;;;;;;;;
7056;120;107;-32;0;;;;;;;;;;
7119;120;107;0;66;;;;;;;;;;
7182;120;107;0;66;;;;;;;;;;
7245;120;107;0;66;;;;;;;;;;
7308;120;107;0;66;;;;;;;;;;
7371;120;107;0;66;;;;;;;;;;
7434;120;108;0;156;;;;;;;;;;
7497;120;110;0;156;;;;;;;;;;
7560;120;112;0;156;;;;;;;;;;
7623;120;117;0;156;;;;;;;;;;
7686;120;119;0;156;;;;;;;;;;
7749;120;120;0;72;;;;;;;;;;
7812;120;120;0;72;;;;;;;;;;
7875;120;120;0;72;;;;;;;;;;
7938;120;120;0;-99;;;;;;;;;;
8001;120;120;0;-99;;;;;;;;;;
8064;120;120;-35;-99;;;;;;;;;;
8127;120;120;-35;-99;;;;;;;;;;
8190;120;120;-35;-99;;;;;;;;;;
8253;120;120;-35;-30;;;;;;;;;;
8316;120;120;-35;-30;;;;;;;;;;
8379;120;120;0;-30;;;;;;;;;;
8442;120;120;0;-30;;;;;;;;;;
8505;120;120;0;-30;;;;;;;;;;
8568;120;120;0;0;;;;;;;;;;
8631;120;120;0;0;;;;;;;;;;
8694;120;120;0;0;;;;;;;;;;
8757;120;120;0;0;;;;;;;;;;
8820;120;120;0;0;;;;;;;;;;
8883;120;120;0;0;;;;;;;;;;
8946;120;120;0;0;;;;;;;;;;
9009;120;120;0;0;;;;;;;;;;
9072;120;120;0;0;;;;;;;;;;
9135;120;120;0;0;;;;;;;;;;
9198;120;120;0;-35;;;;;;;;;;
9261;120;120;0;-35;;;;;;;;;;
9324;120;120;0;-35;;;;;;;;;;
9387;120;120;0;-35;;;;;;;;;;
9450;120;120;0;-35;;;;;;;;;;
9513;120;120;0;-76;;;;;;;;;;
9576;120;120;0;-76;;;;;;;;;;
9639;120;120;-35;-76;;;;;;;;;;
9702;120;120;-35;-76;;;;;;;;;;
9765;120;120;-35;-76;;;;;;;;;;
9828;120;119;-35;-116;;;;;;;;;;
9891;120;116;-48;-116;;;;;;;;;;
9954;120;115;-48;-116;;;;;;;;;;
10017;120;113;-48;-116;;;;;;;;;;
10080;120;112;-48;-116;;;;;;;;;;
10143;120;111;-48;-82;;;;;;;;;;
10206;120;111;-55;-82;;;;;;;;;;
10269;120;111;-55;-82;;;;;;;;;;
10332;120;111;-55;-82;;;;;;;;;;
10395;120;111;-55;-28;;;;;;;;;;
10458;120;111;-55;-28;;;;;;;;;;
10521;120;111;-62;-28;;;;;;;;;;
10584;120;111;-62;-28;;;;;;;;;;
10647;120;111;-62;-28;;;;;;;;;;
10710;120;111;-62;-96;;;;;;;;;;
10773;120;111;-62;-96;;;;;;;;;;
10836;120;111;-62;-96;;;;;;;;;;
10899;120;111;-108;-96;;;;;;;;;;
10962;120;111;-108;-96;;;;;;;;;;
11025;120;111;-108;-130;;;;;;;;;;
11088;120;109;-108;-130;;;;;;;;;;
11151;120;106;-108;-130;;;;;;;;;;
11214;118;104;-118;-130;;;;;;;;;;
11277;117;102;-118;-130;;;;;;;;;;
11340;115;101;-118;-130;;;;;;;;;;
11403;112;100;-118;-94;;;;;;;;;;
11466;111;100;-118;-94;;;;;;;;;;
11529;109;100;-130;-94;;;;;;;;;;
11592;107;100;-130;-94;;;;;;;;;;
11655;104;100;-130;-69;;;;;;;;;;
11718;102;100;-130;-69;;;;;;;;;;
11781;101;100;-130;-69;;;;;;;;;;
11844;99;100;-144;-69;;;;;;;;;;
11907;95;100;-144;-69;;;;;;;;;;
11970;93;98;-144;-266;;;;;;;;;;
12033;91;93;-144;-266;;;;;;;;;;
12096;87;83;-124;-266;;;;;;;;;;
12159;85;79;-124;-266;;;;;;;;;;
12222;84;74;-124;-266;;;;;;;;;;
12285;82;70;-124;-46;;;;;;;;;;
12348;81;70;-124;-46;;;;;;;;;;
12411;77;70;-151;-46;;;;;;;;;;
12474;75;70;-151;-46;;;;;;;;;;
12537;72;70;-151;-46;;;;;;;;;;
12600;70;70;-151;-46;;;;;;;;;;
12663;65;70;-151;-85;;;;;;;;;;
12726;63;70;-154;-85;;;;;;;;;;
12789;61;70;-154;-85;;;;;;;;;;
12852;58;70;-154;-85;;;;;;;;;;
12915;54;70;-154;-210;;;;;;;;;;
12978;52;67;-154;-210;;;;;;;;;;
13041;49;64;-105;-210;;;;;;;;;;
13104;49;60;-105;-210;;;;;;;;;;
13167;49;54;-105;-210;;;;;;;;;;
13230;49;50;-105;-210;;;;;;;;;;
13293;49;50;-105;-89;;;;;;;;;;
13356;49;50;-105;-89;;;;;;;;;;
13419;46;50;-141;-89;;;;;;;;;;
13482;44;50;-141;-89;;;;;;;;;;
13545;42;50;-141;-89;;;;;;;;;;
13608;40;49;-141;-115;;;;;;;;;;
13671;36;46;-155;-115;;;;;;;;;;
13734;34;44;-155;-115;;;;;;;;;;
13797;32;43;-155;-115;;;;;;;;;;
13860;30;41;-155;-115;;;;;;;;;;
13923;26;37;-155;-170;;;;;;;;;;
13986;25;34;-91;-170;;;;;;;;;;
14049;25;32;-91;-170;;;;;;;;;;
14112;25;29;-91;-170;;;;;;;;;;
14175;25;25;-91;-93;;;;;;;;;;
14238;25;25;-91;-93;;;;;;;;;;
14301;24;25;-146;-93;;;;;;;;;;
14364;22;25;-146;-93;;;;;;;;;;
14427;18;25;-146;-93;;;;;;;;;;
14490;16;25;-146;-153;;;;;;;;;;
14553;14;23;-146;-153;;;;;;;;;;
14616;11;21;-187;-153;;;;;;;;;;
14679;6;17;-187;-153;;;;;;;;;;
14742;4;15;-187;-153;;;;;;;;;;
14805;1;12;-187;-164;;;;;;;;;;
14868;-1;10;-187;-164;;;;;;;;;;
14931;-6;5;-106;-164;;;;;;;;;;
14994;-6;2;-106;-164;;;;;;;;;;
15057;-6;0;-106;-164;;;;;;;;;;
15120;-6;-2;-106;-117;;;;;;;;;;
15183;-6;-5;-106;-117;;;;;;;;;;
15246;-6;-6;-153;-117;;;;;;;;;;
15309;-8;-8;-153;-117;;;;;;;;;;
15372;-10;-9;-153;-117;;;;;;;;;;
15435;-14;-11;-153;-88;;;;;;;;;;
15498;-16;-11;-153;-88;;;;;;;;;;
15561;-19;-11;-153;-88;;;;;;;;;;
15624;-21;-11;-149;-88;;;;;;;;;;
15687;-26;-11;-149;-88;;;;;;;;;;
15750;-28;-12;-149;-117;;;;;;;;;;
15813;-30;-14;-149;-117;;;;;;;;;;
15876;-32;-15;-149;-117;;;;;;;;;;
15939;-32;-18;-69;-117;;;;;;;;;;
16002;-32;-20;-69;-117;;;;;;;;;;
16065;-32;-21;-69;-119;;;;;;;;;;
16128;-32;-23;-69;-119;;;;;;;;;;
16191;-32;-26;-99;-119;;;;;;;;;;
16254;-32;-27;-99;-119;;;;;;;;;;
16317;-32;-29;-99;-119;;;;;;;;;;
16380;-32;-29;-99;-90;;;;;;;;;;
16443;-32;-29;-99;-90;;;;;;;;;;
16506;-33;-29;-134;-90;;;;;;;;;;
16569;-35;-29;-134;-90;;;;;;;;;;
16632;-38;-30;-134;-135;;;;;;;;;;
16695;-40;-32;-134;-135;;;;;;;;;;
16758;-42;-33;-134;-135;;;;;;;;;;
16821;-43;-35;-100;-135;;;;;;;;;;
16884;-43;-39;-100;-135;;;;;;;;;;
16947;-43;-41;-100;-156;;;;;;;;;;
17010;-43;-43;-100;-156;;;;;;;;;;
17073;-43;-45;-100;-156;;;;;;;;;;
17136;-43;-49;-88;-156;;;;;;;;;;
17199;-43;-51;-88;-156;;;;;;;;;;
17262;-43;-53;-88;-89;;;;;;;;;;
17325;-43;-53;-88;-89;;;;;;;;;;
17388;-43;-53;-88;-89;;;;;;;;;;
17451;-46;-53;-177;-89;;;;;;;;;;
17514;-49;-53;-177;-89;;;;;;;;;;
17577;-52;-53;-177;-103;;;;;;;;;;
17640;-54;-53;-177;-103;;;;;;;;;;
17703;-60;-53;-177;-103;;;;;;;;;;
17766;-61;-53;-65;-103;;;;;;;;;;
17829;-61;-53;-65;-103;;;;;;;;;;
17892;-61;-53;-65;-103;;;;;;;;;;
17955;-61;-60;-65;-296;;;;;;;;;;
18018;-61;-64;-65;-296;;;;;;;;;;
18081;-61;-67;-33;-296;;;;;;;;;;
18144;-61;-75;-33;-296;;;;;;;;;;
18207;-61;-76;-33;-99;;;;;;;;;;
18270;-61;-76;-33;-99;;;;;;;;;;
18333;-61;-76;-33;-99;;;;;;;;;;
18396;-64;-76;-147;-99;;;;;;;;;;
18459;-66;-76;-147;-99;;;;;;;;;;
18522;-68;-76;-147;-61;;;;;;;;;;
18585;-70;-76;-147;-61;;;;;;;;;;
18648;-73;-76;-45;-61;;;;;;;;;;
18711;-73;-76;-45;-61;;;;;;;;;;
18774;-73;-76;-45;-61;;;;;;;;;;
18837;-73;-77;-45;-221;;;;;;;;;;
18900;-73;-84;-45;-221;;;;;;;;;;
18963;-73;-87;-40;-221;;;;;;;;;;
19026;-73;-90;-40;-221;;;;;;;;;;
19089;-73;-94;-40;-221;;;;;;;;;;
19152;-73;-96;-40;-85;;;;;;;;;;
19215;-73;-96;-40;-85;;;;;;;;;;
19278;-73;-96;-156;-85;;;;;;;;;;
19341;-75;-96;-156;-85;;;;;;;;;;
19404;-80;-96;-156;-49;;;;;;;;;;
19467;-82;-96;-156;-49;;;;;;;;;;
19530;-85;-96;-156;-49;;;;;;;;;;
19593;-87;-96;-57;-49;;;;;;;;;;
19656;-87;-96;-57;-49;;;;;;;;;;
19719;-87;-96;-57;-186;;;;;;;;;;
19782;-87;-98;-57;-186;;;;;;;;;;
19845;-87;-103;-57;-186;;;;;;;;;;
19908;-87;-103;-57;-186;;;;;;;;;;
19971;-87;-108;-48;-186;;;;;;;;;;
20034;-87;-111;-48;-186;;;;;;;;;;
20097;-87;-111;-48;-99;;;;;;;;;;
20160;-87;-111;-48;-99;;;;;;;;;;
20223;-88;-111;-170;-99;;;;;;;;;;
20286;-91;-111;-170;-99;;;;;;;;;;
20349;-93;-111;-170;-99;;;;;;;;;;
20412;-98;-111;-170;-40;;;;;;;;;;
20475;-100;-111;-170;-40;;;;;;;;;;
20538;-101;-111;-93;-40;;;;;;;;;;
20601;-101;-111;-93;-40;;;;;;;;;;
20664;-101;-112;-93;-114;;;;;;;;;;
20727;-101;-114;-93;-114;;;;;;;;;;
20790;-101;-115;-93;-114;;;;;;;;;;
20853;-102;-117;-139;-114;;;;;;;;;;
20916;-106;-120;-139;-114;;;;;;;;;;
20979;-107;-121;-139;-44;;;;;;;;;;
21042;-109;-121;-139;-44;;;;;;;;;;
21105;-111;-121;-139;-44;;;;;;;;;;
21168;-114;-121;-229;-44;;;;;;;;;;
21231;-121;-121;-229;-44;;;;;;;;;;
21294;-125;-121;-229;-44;;;;;;;;;;
21357;-133;-121;-229;0;;;;;;;;;;
21420;-133;-121;-229;0;;;;;;;;;;
21483;-136;-121;-47;0;;;;;;;;;;
21546;-136;-121;-47;0;;;;;;;;;;
21609;-136;-121;-47;0;;;;;;;;;;
