x;y
112;-118
112;-116
112;-111
112;-111
112;-108
112;-103
112;-101
112;-97
112;-97
112;-93
112;-91
112;-90
112;-90
112;-90
111;-90
109;-90
105;-90
103;-90
101;-90
99;-90
98;-90
98;-90
98;-90
98;-90
98;-90
98;-90
98;-90
98;-90
98;-90
98;-90
98;-90
95;-89
92;-88
85;-85
82;-83
75;-82
73;-82
70;-82
67;-82
61;-82
60;-82
60;-82
60;-82
60;-82
60;-82
59;-82
58;-82
56;-82
55;-82
52;-82
51;-82
51;-82
51;-82
51;-82
51;-82
51;-82
51;-82
51;-82
51;-82
51;-82
51;-79
51;-77
51;-75
51;-71
51;-69
51;-67
51;-66
51;-64
51;-61
51;-59
49;-59
47;-59
45;-59
41;-59
39;-59
35;-54
34;-52
32;-49
30;-47
29;-44
28;-43
28;-43
28;-43
28;-43
28;-43
28;-43
28;-43
28;-43
28;-43
28;-42
28;-39
28;-36
28;-29
28;-26
28;-24
28;-24
28;-24
28;-24
28;-24
28;-24
24;-24
23;-24
21;-24
19;-24
17;-24
14;-19
13;-17
11;-14
8;-9
8;-9
8;-9
8;-9
8;-9
8;-9
8;-9
8;-9
8;-9
8;-9
8;-9
6;-5
4;-1
2;1
1;4
-2;9
-3;9
-5;9
-7;9
-8;9
-10;9
-14;9
-15;9
-19;9
-20;9
-22;9
-24;10
-27;13
-29;15
-31;17
-32;18
-32;20
-32;20
-32;20
-32;20
-32;20
-32;20
-32;20
-32;20
-32;20
-32;20
-34;22
-35;26
-37;29
-40;36
-42;39
-43;42
-43;44
-43;44
-43;44
-43;44
-43;44
-43;44
-43;44
-43;44
-43;44
-45;44
-46;47
-48;50
-52;55
-53;58
-55;61
-57;61
-58;61
-60;61
-64;61
-65;61
-69;61
-71;61
-73;61
-75;61
-77;61
-80;64
-82;66
-84;68
-86;69
-86;72
-86;72
-86;72
-86;72
-86;72
-86;72
-86;72
-86;72
-86;72
-87;72
-90;76
-92;80
-93;83
-95;86
-96;89
-96;91
-96;91
-96;91
-96;91
-96;91
-96;91
-96;91
-96;91
-96;91
-98;91
-99;94
-101;98
-105;104
-106;107
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-107;111
-109;111
-110;111
-112;111
-116;111
-117;111
-119;111
-120;111
-123;111
-125;111
-126;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;111
-128;116
-128;118
-128;121
-128;123
-128;126
-128;127
-128;127
-128;127
-128;123
-128;120
-128;118
-128;113
-128;110
-128;109
-128;109
-128;109
-128;109
-128;109
-128;109
-128;109
-128;109
-128;109
-128;109
-128;109
-128;110
-128;112
-128;115
-128;116
-128;118
-128;119
