x;y
120;122
120;122
118;120
116;118
114;115
113;113
109;108
108;108
106;108
105;108
102;108
100;108
100;107
100;104
100;99
100;96
100;94
100;92
100;88
100;87
100;85
99;81
97;80
95;78
93;77
89;74
87;72
85;71
80;71
78;71
75;71
73;71
71;71
66;71
64;71
61;71
59;71
57;71
52;67
50;66
48;64
44;61
42;59
40;57
39;55
36;52
34;50
33;48
31;46
28;42
26;40
25;38
23;36
19;33
18;31
16;29
14;28
11;24
9;22
7;21
6;19
2;15
0;14
0;12
-4;8
-6;7
-7;5
-9;3
-12;0
-14;-1
-16;-3
-18;-5
-19;-6
-23;-10
-25;-12
-26;-13
-28;-15
-30;-17
-33;-20
-35;-22
-37;-24
-40;-27
-42;-29
-43;-31
-45;-32
-48;-36
-49;-38
-51;-39
-52;-41
-55;-44
-57;-46
-58;-47
-60;-49
-63;-52
-64;-53
-66;-55
-67;-56
-69;-59
-69;-61
-69;-62
-69;-65
-69;-67
-70;-68
-72;-70
-73;-71
-76;-74
-78;-76
-80;-77
-82;-79
-86;-79
-88;-79
-90;-79
-90;-79
-90;-79
-90;-79
-90;-79
-90;-79
-90;-79
-90;-80
-90;-82
-90;-83
-91;-87
-93;-89
-94;-90
-96;-90
-100;-90
-101;-90
-103;-90
-105;-90
-108;-94
-110;-96
-111;-97
-111;-101
-111;-102
-111;-104
-111;-106
-111;-109
-111;-111
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
