time;x;y;fx;fy;;;;;;;;;;
63;120;-120;27;0;;;;;;;;;;
126;120;-120;27;0;;;;;;;;;;
189;120;-120;27;0;;;;;;;;;;
252;120;-120;30;0;;;;;;;;;;
315;120;-120;30;0;;;;;;;;;;
378;120;-120;30;0;;;;;;;;;;
441;120;-120;30;0;;;;;;;;;;
504;120;-120;30;0;;;;;;;;;;
567;120;-120;33;0;;;;;;;;;;
630;120;-120;33;0;;;;;;;;;;
693;120;-120;33;0;;;;;;;;;;
756;120;-120;33;0;;;;;;;;;;
819;120;-120;33;0;;;;;;;;;;
882;120;-120;26;0;;;;;;;;;;
945;120;-120;26;0;;;;;;;;;;
1008;120;-120;26;0;;;;;;;;;;
1071;120;-120;26;0;;;;;;;;;;
1134;120;-120;26;0;;;;;;;;;;
1197;120;-120;0;0;;;;;;;;;;
1260;120;-120;0;0;;;;;;;;;;
1323;120;-120;0;0;;;;;;;;;;
1386;120;-120;0;0;;;;;;;;;;
1449;120;-120;0;63;;;;;;;;;;
1512;120;-120;0;63;;;;;;;;;;
1575;120;-120;0;63;;;;;;;;;;
1638;120;-120;0;63;;;;;;;;;;
1701;120;-120;0;63;;;;;;;;;;
1764;120;-120;0;94;;;;;;;;;;
1827;120;-120;0;94;;;;;;;;;;
1890;120;-120;0;94;;;;;;;;;;
1953;120;-120;0;94;;;;;;;;;;
2016;120;-120;0;94;;;;;;;;;;
2079;120;-117;0;155;;;;;;;;;;
2142;120;-115;0;155;;;;;;;;;;
2205;120;-113;0;155;;;;;;;;;;
2268;120;-111;0;155;;;;;;;;;;
2331;120;-106;0;187;;;;;;;;;;
2394;120;-104;0;187;;;;;;;;;;
2457;120;-101;0;187;;;;;;;;;;
2520;120;-99;0;187;;;;;;;;;;
2583;120;-94;0;187;;;;;;;;;;
2646;120;-91;0;187;;;;;;;;;;
2709;120;-91;0;100;;;;;;;;;;
2772;120;-91;0;100;;;;;;;;;;
2835;120;-91;0;100;;;;;;;;;;
2898;120;-91;0;100;;;;;;;;;;
2961;120;-91;0;100;;;;;;;;;;
3024;120;-91;0;100;;;;;;;;;;
3087;120;-85;26;234;;;;;;;;;;
3150;120;-81;26;234;;;;;;;;;;
3213;120;-78;26;234;;;;;;;;;;
3276;120;-75;26;234;;;;;;;;;;
3339;120;-68;26;292;;;;;;;;;;
3402;120;-64;0;292;;;;;;;;;;
3465;120;-60;0;292;;;;;;;;;;
3528;120;-57;0;292;;;;;;;;;;
3591;120;-49;0;292;;;;;;;;;;
3654;120;-47;0;129;;;;;;;;;;
3717;120;-45;30;129;;;;;;;;;;
3780;120;-43;30;129;;;;;;;;;;
3843;120;-40;30;129;;;;;;;;;;
3906;120;-38;30;129;;;;;;;;;;
3969;120;-36;30;172;;;;;;;;;;
4032;120;-34;26;172;;;;;;;;;;
4095;120;-29;26;172;;;;;;;;;;
4158;120;-26;26;172;;;;;;;;;;
4221;120;-24;26;172;;;;;;;;;;
4284;120;-21;26;213;;;;;;;;;;
4347;120;-15;29;213;;;;;;;;;;
4410;120;-11;29;213;;;;;;;;;;
4473;120;-8;29;213;;;;;;;;;;
4536;120;-5;29;213;;;;;;;;;;
4599;120;0;29;177;;;;;;;;;;
4662;120;2;29;177;;;;;;;;;;
4725;120;5;29;177;;;;;;;;;;
4788;120;7;29;177;;;;;;;;;;
4851;120;13;29;177;;;;;;;;;;
4914;120;14;29;132;;;;;;;;;;
4977;120;16;28;132;;;;;;;;;;
5040;120;18;28;132;;;;;;;;;;
5103;120;21;28;132;;;;;;;;;;
5166;120;23;28;132;;;;;;;;;;
5229;120;25;28;144;;;;;;;;;;
5292;120;27;31;144;;;;;;;;;;
5355;120;31;31;144;;;;;;;;;;
5418;120;33;31;144;;;;;;;;;;
5481;120;35;31;144;;;;;;;;;;
5544;120;37;31;131;;;;;;;;;;
5607;120;40;35;131;;;;;;;;;;
5670;120;42;35;131;;;;;;;;;;
5733;120;44;35;131;;;;;;;;;;
5796;120;46;35;131;;;;;;;;;;
5859;120;49;30;127;;;;;;;;;;
5922;120;51;30;127;;;;;;;;;;
5985;120;52;30;127;;;;;;;;;;
